term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
acquisition phonemic,title,,fr,,,non,"Acquisition phonemic est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
acquisition phonemic vs,title,,fr,,,non,"Acquisition phonemic vs est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
amorçage rythmique,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui,Amorçage rythmique refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.
amorçage rythmique sur,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Amorçage rythmique sur refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui,Amorçage rythmique sur refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.
analyse et,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Analyse et refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui,"Analyse et refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français."
analyse et exploitation,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Analyse et exploitation refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui,"Analyse et exploitation refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français."
analyse interlangue,title,,en,,,non,"Analyse interlangue is a concept used in the fields of linguistics, translation, or education."
analyse interlangue prosodique,title,,fr,,,non,"Analyse interlangue prosodique est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
analysis interlanguage,title,,en,,,non,"Analysis interlanguage is a concept used in the fields of linguistics, translation, or education."
analysis interlanguage prosody,title,,en,,,non,"Analysis interlanguage prosody is a concept used in the fields of linguistics, translation, or education."
analysis rhythmic,title,,fr,,,non,"Analysis rhythmic est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
analysis rhythmic priming,title,,en,,,non,"Analysis rhythmic priming is a concept used in the fields of linguistics, translation, or education."
anglais ayant,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Anglais ayant refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui,Anglais ayant refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.
anglais ayant comme,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Anglais ayant comme refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui,Anglais ayant comme refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.
anglais francophones,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Anglais francophones refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Anglais francophones refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
anglais francophones et,title,,fr,Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones,Anglais francophones et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.,oui,Anglais francophones et refers to Prosodie et apprentissage des langues : étude contrastive de l’interlangue d’apprenants d’anglais francophones et hispanophones.
anglais langue,title,,fr,Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère,Anglais langue refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.,oui,Anglais langue refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.
anglais langue étrangère,title,,fr,Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère,Anglais langue étrangère refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.,oui,Anglais langue étrangère refers to Conversion entre systèmes de transcription prosodique pour l’analyse de l’interlangue prosodique d’apprenants d’anglais langue étrangère.
annoter des,title,,fr,"Interpréter, transcrire et annoter des données de langage oral","Annoter des refers to Interpréter, transcrire et annoter des données de langage oral.",oui,"Annoter des refers to Interpréter, transcrire et annoter des données de langage oral."
