term,source,definition,langue,auto_definition,definition_finale,valide_auto
aprendientes inglés través,title,,fr,,"Aprendientes inglés través est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
assimilation morphemic,title,,en,,"Assimilation morphemic is a concept used in the fields of linguistics, translation, or education.",non
assimilation morphemic l2,title,,en,,"Assimilation morphemic l2 is a concept used in the fields of linguistics, translation, or education.",non
atteintes la,title,,fr,,"Atteintes la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
atteintes la maladie,title,,fr,,"Atteintes la maladie est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
au carrefour,title,,fr,"Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français","Au carrefour refers to Constitution, analyse et exploitation de corpus: au carrefour de la recherche et de l'enseignement dans les centres de langue français.",oui
au carrefour la,title,,fr,,"Au carrefour la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
aux attentes,title,,fr,Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes,Aux attentes refers to Apport du geste dans l'acquisition de la prononciation en l2 : quand la réalité ne correspond pas aux attentes.,oui
ayant comme,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Ayant comme refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
ayant comme l1,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Ayant comme l1 refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
bimodal approach,title,,fr,A bimodal approach to study the effects of rhythmic priming,Bimodal approach refers to A bimodal approach to study the effects of rhythmic priming.,oui
bimodal approach study,title,,fr,,"Bimodal approach study est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
bimodal methodology,title,,fr,This bimodal methodology is devised to study the effects of regular and irregular rhythmic priming-i.e,Bimodal methodology refers to This bimodal methodology is devised to study the effects of regular and irregular rhythmic priming-i.e.,oui
bimodal methodology analysis,title,,fr,,"Bimodal methodology analysis est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
bondu verbs,title,,fr,,"Bondu verbs est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
carrefour la,title,,fr,,"Carrefour la est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
carrefour la recherche,title,,en,,"Carrefour la recherche is a concept used in the fields of linguistics, translation, or education.",non
case l1,title,,fr,,"Case l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
case l1 spanish,title,,en,,"Case l1 spanish is a concept used in the fields of linguistics, translation, or education.",non
centres langue,title,,fr,,"Centres langue est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
centres langue français,title,,fr,,"Centres langue français est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
chez des,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Chez des refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
chez des personnes,title,,fr,Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote,Chez des personnes refers to Impact de l’amorçage rythmique sur la production de la parole chez des personnes atteintes de la maladie de parkinson : étude pilote.,oui
class planning,title,,en,Second language class planning : means of promoting the feeling of pleasure,Class planning refers to Second language class planning : means of promoting the feeling of pleasure.,oui
class planning means,title,,en,,"Class planning means is a concept used in the fields of linguistics, translation, or education.",non
class planning stages,title,,en,,"Class planning stages is a concept used in the fields of linguistics, translation, or education.",non
coerced weight,title,,en,Coerced weight and its consequences in bondu so verbs,Coerced weight refers to Coerced weight and its consequences in bondu so verbs.,oui
coerced weight consequences,title,,en,,"Coerced weight consequences is a concept used in the fields of linguistics, translation, or education.",non
comme l1,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Comme l1 refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
comme l1 le,title,,fr,La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol,Comme l1 le refers to La prosodie de l’interlangue d’apprenants d’anglais ayant comme l1 le français ou l’espagnol.,oui
comparativo dos,title,,fr,,"Comparativo dos est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
comparativo dos traducciones,title,,es,,"Comparativo dos traducciones es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
comparing frenchl1,title,,en,"The acquisition of /s/ -/z/ in a phonemic vs neutralised context: comparing frenchl1, italianl1 and spanishl1 learners of l2 english","Comparing frenchl1 refers to The acquisition of /s/ -/z/ in a phonemic vs neutralised context: comparing frenchl1, italianl1 and spanishl1 learners of l2 english.",oui
comparing frenchl1 italianl1,title,,en,,"Comparing frenchl1 italianl1 is a concept used in the fields of linguistics, translation, or education.",non
congruent incongruent,title,,es,,"Congruent incongruent es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
congruent incongruent corrective,title,,fr,,"Congruent incongruent corrective est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
consequences bondu,title,,es,,"Consequences bondu es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
consequences bondu verbs,title,,fr,,"Consequences bondu verbs est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
constitution analyse,title,,en,,"Constitution analyse is a concept used in the fields of linguistics, translation, or education.",non
